,annotation_original,annotation_unique,annotation_unique_extra,blob
12741,5.25,H3a,H3a.25,Forderungen und sonstige Vermögensgegenstände
12742,5.25,H3a,H3a.25,Forderungen mit einer Restlaufzeit von mehr als einem Jahr bestehen in Höhe von TEUR
12743,5.52,H3a,H3a.52,Verbindlichkeitenspiegel
12744,"5.52, 19, 42, 43","H3a, H19, H61, FS5","H3a.52, H19, H61, FS5","Angaben in TEUR Restlaufzeit.
bis zu.
einem Jahr
Restlaufzeit.
zwischen einem.
und fünf Jahren
Restlaufzeit.
über fünf Jahre
Summe.
Verbindlichkeiten
Verbindlichkeiten gegenüber Kreditinstituten 252.397 974.495 6.616 356.508
(Vorjahr) (185.563) (126.916) (6.345) (318.824)
Verbindlichkeiten aus Lieferungen und Leistungen 384.685 0 0 38.685
(Vorjahr) (52.731) (820) 0 (53.551)
Verbindlichkeiten aus der Annahme gezogener Wechsel und der Ausstellung
eigener Wechsel
113 0 0 113
(Vorjahr) (744) 0 0 (744)
Verbindlichkeiten gegenüber verbundenen Unternehmen 34.109 0 0 3.109
(Vorjahr) (3.114) 0 0 (3.114)
Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis
besteht
3 0 0 3
(Vorjahr) (4) 0 0 (4)
Sonstige Verbindlichkeiten gegenüber Gesellschaftern 3.888 0 0 3.888
(Vorjahr) (3.897) 0 0 (3.897)
Sonstige Verbindlichkeiten im Rahmen der sozialen Sicherheit 1.513 0 0 1.513
Angaben in TEUR Restlaufzeit.
bis zu.
einem Jahr
Restlaufzeit.
zwischen einem.
und fünf Jahren
Restlaufzeit.
über fünf Jahre
Summe.
Verbindlichkeiten
(Vorjahr) (1.677) 0 0 (1.677)
Sonstige Verbindlichkeiten aus Steuern 10.278 0 0 10.278
(Vorjahr) (11.347) 0 0 (11.347)
Übrige sonstige Verbindlichkeiten 13.527 139 56 13.722
(Vorjahr) (17.492) (80) 0 (17.572)
Summe Verbindlichkeiten 323.513 97.634 6.672 427.819
(Vorjahr) (276.569) (127.816) (64.345) (410.730)"
12745,44,H65,H65,Haftungsverhältnisse
12746,44,H65,H65,Im Konzern bestehen Haftungsverhältnisse aus Bürgschaften und Garantien in Höhe von TEUR 5.081 sowie Sonstige in Höhe von TEUR 7.297.
12747,5.66,H3a,H3a.66,D. Erläuterungen zur Gewinn- und Verlustrechnung Umsatzerlöse nach Regionen
12748,5.66,H3a,H3a.66,"Angaben in TEUR Europa Amerika Asien / Australien Afrika Gesamt
Summe 800.165 429.705 494.621 182.832 1.907.323"
12749,5.66,H3a,H3a.66,"Eine Aufgliederung der Umsatzerlöse mit Dritten nach Tätigkeitsbereichen nach für den Konzern typischen Erzeugnissen und der für die gewöhnliche Geschäftstätigkeit des Konzerns typischen Dienstleistungen wurde gem. § 314 Abs. 1 Nr. 3 HGB nicht vorgenommen, da sich diese nicht erheblich unterscheiden."
12750,"5.90, 28","H3a, H34","H3a.90, H34",Steuern vom Einkommen und vom Ertrag Steuerliche Überleitungsrechnung
12751,"5.90, 28","H3a, H34","H3a.90, H34",Erwarteter Steuersatz / effektiver Steuersatz Werte in Mio. €
12752,"5.90, 28, 56","H3a, H34, H91","H3a.90, H34, H91","Ergebnis BJ Steuern
Ergebnis vor Ertragssteuern (Handelsbilanz) 264,94
Erwarteter Ertragssteueraufwand 79,48
Erwarteter Ertragssteuersatz Konzern 30%
Überleitung zum effektiven Steueraufwand:
Abweichende ausländische Steuerbelastung -1,48
Abweichende inländische Steuerbelastung -7,50
davon aus Abweichung tats. Teilsteuersatz 2012 zu 30%: - 5,92
Ergebnis BJ Steuern
davon Sonstiges: - 1,58
Abweichende Steuerbelastung bei Gesellschaften mit Verlust 8,30
Periodenfremde Steuerbelastung 1,25
Sonstige Abweichungen 1,18
Ausgewiesener Ertragssteueraufwand 81,23
Ausgewiesener Ertragssteuersatz vor Konsolidierung 31%
Konzernverrechnung
AfA Goodwill -1,66 0,00
Schuldenkonsolidierung -3,81 0,00
Zwischengewinne -17,62 -5,29
Storno aktive lat. Steuern 2,53
Ergebnis vor Ertragssteuern Konzern 241,85 78,47
Effektiver Ertragssteuersatz Konzern 32%"
12753,"5.90, 28","H3a, H34","H3a.90, H34",Abweichend vom DRS 18 wurde im Berichtsjahr auf die Vorjahresangaben verzichtet.
12754,,None,None,II. Sonstige Anhangsangaben
12755,62,H105,H105,A. Gesamtbetrag der sonstigen finanziellen Verpflichtungen
12756,62,H105,H105,Es bestehen sonstige finanzielle Verpflichtungen im Konzern aus Leasingverträgen in Höhe von TEUR 15.430 und aus Sonstigem in Höhe von TEUR 8.229.
12757,65,E39,E39,B. Angabe gemäß § 314 Nr. 9 HGB
12758,65,E39,E39,"Gesamthonorar
TEUR
1. Abschlussprüfungsleistungen 306.233,40
2. Andere Bestätigungsleistungen 6.690,13
3. Sonstige Leistungen 32.091,71
345.015,24"
12759,,None,None,C. Organe
12760,,None,None,"Geschäftsführer der Wirtgen Group GmbH & Co. KG, Windhagen, war im Berichtsjahr die Wirtgen Komplementär GmbH. Die Geschäftsführung bei der Wirtgen Komplementär GmbH wurde von Herrn Jürgen Wirtgen, Herrn Stefan Wirtgen und Frau Gisela Wirtgen ausgeübt."
12761,,None,None,"Persönlich haftende Gesellschafterin ist die Wirtgen Komplementär GmbH, Windhagen. Das gezeichnete Kapital betrug zum 31. Dezember 2012 EUR 30.000,00."
12762,58,FS58,FS58,D. Durchschnittliche Zahl der während des Geschäftsjahres beschäftigten Arbeitnehmer
12763,58,FS58,FS58,"Der Konzern zählt im Geschäftsjahr 2012 durchschnittlich 5.619 Beschäftigte (davon 204 Auszubildende), davon 4.303 in Europa, 517 in Amerika, 673 in Asien/Australien sowie 126 Mitarbeiter in Afrika/Naher Osten."
12764,,None,None,"Windhagen, 12. Juli 2013
gez. die Geschäftsführung"
12765,68,FS61b,FS61b,Angaben zum Konsolidierungskreis und zum Konzernanteilsbesitz
12766,"68, 71","FS61b, H125","FS61b, H125","Nr. Name Sitz Anteil am Kapital Halter
031 Wirtgen Group GmbH &
Co.KG
Windhagen, Deutschland 100,00% Konzernmutter
030 Wirtgen Beteiligungsgesellschaft
mbH
Windhagen, Deutschland 100,00% 031
010 Wirtgen GmbH* Windhagen, Deutschland 100,00% 300
013 Wirtgen North Africa
GmbH
Windhagen. Deutschland 100,00% 300
014 Wirtgen Libya J.C. Tripoli, Libyen 100.00% 013
018 Wirtgen Qeshm Ltd, Qeshm, Iran 100,00% 300
019 Wirtgen Ankara Makine
Sanayi Ve Ticaret Ltd. Sti.
Ankara, Türkei 99,875%.
0,125%
300.
040
022 Wirtgen International
GmbH'
Windhagen, Deutschland 100,00% 300
023 Wirtgen Hamburg Vertriebs-
und Service
GmbH*
Bad Faliingbostel,
Deutschland
100,00% 300
024 Wirtgen Zwicket! Vertriebs-
und Service
GmbH*
Meerane, Deutschland 100,00% 300
025 Wirtgen Augsburg Vertriebs-
und Service GmbH""
Augsburg, Deutschland 100,00% 300
Nr. Name Sitz Anteil am Kapital Halter
026 Wirtgen Windhagen Vertriebs-
und Service GmbH'
Windhagen, Deutschland 100,00% 300
028 Wirtgen Grund und Boden
GmbH
Windhagen, Deutschland 100,00% 010
032 Wirtgen Used Equipment
GmbH
Windhagen, Deutschland 100,00% 300
040 ERSEG GmbH Windhagen, Deutschland 100,00% 300
042 Wirtgen America, Inc. Nashville, Tennessee, USA 100,00% 085
043 Wirtgen Australia Pty. Ltd. Emu Plains, NSW, Australien
100,00% 300
044 Wirtgen Japan Co. Ltd. Tokyo, Japan 100,00% 300
045 Wirtgen Nederland B.V. Werkendam, Niederlande 100,00% 300
046 Wirtgen South Africa (Pty)
Ltd.
Edenglen, Transvaal, Südafrika
100,00% 300
048 Wirtgen India Pvt. Ltd. Pune, Indien 99,99%.
0,01%
300.
040
050 Wirtgen Belgiurn B.V.B.A. Puurs, Belgien 99,60%.
0,40%
300.
040
058 Wirtgen Ltd. Lincoln, England 100,00% 300
059 Wirtgen Macchine S.r.l. Noviglio, Italien 100,00% 300
062 Wirtgen Hong Kong Ltd. Hong Kong, China 100,00% 300
064 Wirtgen Philippines Inc. Lapu-Lapu City, Cebu,
Philippinen
100,00% 065
065 Wirtgen Singapore Pte.
Ltd.
Singapore, Singapur 100,00% 300
067 Wirtgen Hong Kong Ltd.
Taiwan Branch
Taoyuan County, Taiwan 100,00% 062
069 Wirtgen (M) SDN BHD Kuala Lumpur, Malaysia 100,00% 065
071 Ciber Equlipamentos Rodoviários
Ltda.
Porto Alegre, Brasilien 100,00% 070
073 Wirtgen (Thailand) Co.
Ltd.
Samutprakarn, Thailand 100,00% 065
Nr. Name Sitz Anteil am Kapital Halter
077 Wirtgen (China) Machinery
Co., Ltd
Hebei, China 100,00% 062
080 Joseph Vögele AG* Ludwigshafen, Deutschland
100,00% 300
083 Wirtgen France S.A.S. Goussainville, Frankreich 100.00% 300
084 Belek Japan Co., Ltd. Kobe, Japan 100,00% 044
085 Wirtgen Inc. Nashville, Tennessee, USA 100,00% 300
087 Wirtgen Österreich GmbH Steyrermühl, Österreich 100.00% 300
088 Wirtgen Ireland Ltd., Dublin, Irland 100,00% 300
095 Delta Group Overseas
Holding GmbH
Windhagen, Deutschland 100,00% 300
097 Kele GmbH Windhagen, Deutschland 100,00% 096
100 Wirtgen Denmark A/S Fredericia, Dänemark 100,00% 300
101 Wirtgen Finland Oy Tuusula, Finnland 100,00% 100
102 Wirtgen Norway A/S Sande i Vesfold, Norwegen
100,0% 100
103 Wirtgen Sweden AB Alvesta, Schweden 100,00% 100
120 Hamm AG"" Tirschenreuth, Deutschland
100,00% 300
130 WIG Verwaltung GmbH Wien, Österreich 100,00% 300
131 V & H Verwaltung GmbH Wien, Österreich 100,00% 300
132 KLG Verwaltung GmbH Wien, Österreich 100,00% 300
140 Kleemann GmbH Göppingen, Deutschland 100,00% 300
145 Kleemann Immobilien
GmbH & Co. KG
Göppingen, Deutschland 100,00% 300
172 Wirtgen (Guangzhou) Machinery
Co. Ltd.
Guangzhou, China 100,00% 077
202 OAO Bakra Moskau, Russland 99,52%.
0,48%
022.
Dritte
205 TOO Wirtgen Kazakhstan Almaty, Kasachstan 100,00% 022
209 Wirtgen ĆR s.r.o Prag, Tschechien 75%.
25%
022.
Dritte
Nr. Name Sitz Anteil am Kapital Halter
210 Wirtgen Bulgaria EOOD Sofia, Bulgarien 100,00% 022
212 Wirtgen-Srbija d.o.o. Beograd, Serbien 100,00% 022
214 Wirtgen Romania S.R.L. Bucuresti, Rumänien 100,00% 022
215 OOO Wirtgen International
Service
Moskau, Russland 100,00% 022
218 UAB Wirtgen Lietuva Vilnius, Litauen 100,00% 022
219 SIA Wirtgen Latvija Riga, Lettland 100,00% 022
220 00 Wirtgen Eesti Tallinn, Estland 100,00% 022
221 PIK Wirtgen Ukraine Kiew, Ukraine 100,00% 022
222 Wirtgen Polska Sp.z.o.o. Pozna n. Polen 100,00% 022
225 OP Wirtgen Tashkent Tashkent, Republik Usbekistan
100,00% 022
261 Wirtgen Slovensko s.r.o. Bratislava, Slowakei 100,00% 209
228 Wirtgen Budapest Kft, Felsöpakony, Ungarn 100,00% 022
2. Nicht einbezogene Tochterunternehmen
054 baukema Handel GmbH Windhagen, Deutschland
(i.L.)
100,00% 010
055 OOO Wirbak Moskau, Russland (i.L.) 80,00% 022
224 OOO Wirtgen Int. Moskau, Russland (i.L.) 100,00% 022
227 OOO Wirtgen Service Moskau, Russland 100,00% 022
229 Wirtgen Kosova LLC Prishtina, Kosovo 100,00% 022
231 OOO Wirtgen Trade Tashkent, Uzbekistan 100,00% 225
3. Andere Unternehmen, von denen Mutter- und Tochterunternehmen mindestens 20% der Anteile besitzen
203 OOO Wirtgenintermaschservice
Surgut, Russland (i.L.) 40,00% 022"
12767,100,H165,H165,*  Folgende Gesellschaften nehmen die Befreiungsvorschriften gemäß § 264 Abs. 3 HGB in Anspruch.
12768,,None,None,Kapitalflussrechnung für 2012
12769,,None,None,Über die Liquiditätssituation und die finanzielle Entwicklung gibt folgende Finanzierungsrechnung Aufschluss:
12770,,None,None,"2012 2011
TEUR TEUR
1. Jahresergebnis vor außerordentlichen
Posten
163.372 181.600
2. +/- Abschreibungen/Zuschreibungen
auf Gegenstände
des Anlagevermögens
49.697 46.622
3. +/- Zunahme/Abnahme der
Rückstellungen
-27.635 16.721
4. -/+ Zunahme/Abnahme der
Vorräte, der Forderungen
aus Lieferungen und Leistungen
sowie anderer Aktiva,
die nicht der Investitions-
oder Finanzierungstätigkeit
zuzuordnen sind
-21.608 -150.042
5. +/- Zunahme/Abnahme der
Verbindlichkeiten aus Lieferungen
und Leistungen
sowie anderer Passiva, die
nicht der Investitions- oder
Finanzierungstätigkeit zuzuordnen
sind
-19.872 -22.226
6. = Cash-flow aus der laufenden
Geschäftstätigkeit
143.954 72.675
7. Einzahlungen aus Abgängen
von Gegenständen des
Sachanlagevermögens/immateriellen
Anlagevermögens
15.389 15.065
8. - Auszahlungen für Investitionen
in das Sachanlagevermögen/
immaterielle
Anlagevermögen
-106.276 -87.758
9. = Cash-flow aus der Investitionstätigkeit
-90.887 -72.693
2012 2011
TEUR TEUR
10. Sonstige Veränderung Kapital
-3.236 -1.234
11. - Auszahlungen an Unternehmenseigner
und Minderheitsgesellschafter
(Dividenden,
Erwerb eigener
Anteile, Eigenkapitalrückzahlungen,
andere Ausschüttungen)
-68.212 -50.322
12. + Einzahlungen aus der Begehung
von Anleihen
und der Aufnahme von
(Finanz-)Krediten
37.685 48.742
13. = Cash-flow aus der Finanzierungstätigkeit
-33.763 -2.814
14. Zahlungswirksame Veränderungen
des Finanzmittelbestands
(Summe aus Zf.
6, 9, 13)
19.304 -2.832
15. +/- Wechselkurs-, konzernkreis-
und bewertungsbedingte
Änderungen des Finanzmittelbestandes
-7.444 5.413
16. + Finanzmittelbestand am
Anfang der Periode
47.148 44.567
17. = Finanzmittelbestand am
Ende der Periode
59.008 47.148"
12771,,None,None,Eigenkapitalspiegel zum 31. Dezember 2012
12772,,None,None,"Mutterunternehmen
Kumuliertes übriges Konzernergebnis
in TEUR Kapitalanteile Kapitalrücklage Erwirtschaftetes.
Konzern-.
eigenkapital
Ausgleichsposten.
aus der Fremd-.
währungsumrechnung
Andere neutrale.
Tansaktionen
Eigenkapital
Stand am
31.12.2010
1.320 5.080 775.940 3.683 766.023
Änderungen des
Konsolidierungskreises
- -
Übrige Veränderungen
- - -50.320 2.303 -48.017
Konzern-Jahresüberschuss
- - 181.600 181.600
Übriges Konzernergebnis
- -
Konzerngesamtergebnis
- - 131.280 2.303 0 133.583
Stand am 31. Dezember
2011
1.320 5.080 907.220 5.986 0 919.606
Änderungen des
Konsolidierungskreises
- -
Übrige Veränderungen
- - -67.809 -7.079 -74.888
Konzern-Jahresüberschuss
- - 162.968 162.968
Übriges Konzernergebnis
- -
Konzerngesamtergebnis
- - 95.159 -7.079 0 88.080
Stand am 31. Dezember
2012
1.320 5.080 1.002.379 -1.093 0 1.007.686
Minderheitsgesellschafter
Kumuliertes übriges Konzernergebnis
in TEUR Minderheitenkapital Ausgleichsposten.
aus der Fremd-.
währungsumrechnung
Eigenkapital Konzern-.
eigenkapital
Stand am 31.12.2010 5.235 83 5.318 791.341
Änderungen des Konsolidierungskreises 0 0
Übrige Veränderungen -631 -50 -681 -48.698
Konzern-Jahresüberschuss 337 337 181.937
Übriges Konzernergebnis -
Konzerngesamtergebnis -294 -50 -344 133.239
Stand am 31. Dezember 2011 4.941 33 4.974 924.580
Änderungen des Konsolidierungskreises 0 0
Übrige Veränderungen -3.639 36 -3.603 -78.491
Konzern-Jahresüberschuss 404 404 163.372
Übriges Konzernergebnis
Konzerngesamtergebnis -3.235 36 -3.199 84.881
Stand am 31. Dezember 2012 1.706 69 1.775 1.009.461"
12773,,None,None,Konzernanhang für das Geschäftsjahr 2016
12774,,None,None,1. Allgemeine Angaben
12775,83,H151,H151,"Die Hellmann Worldwide Logistics GmbH & Co. KG, Osnabrück ist beim Handelsregister A des Amtsgerichts Osnabrück unter der Handelsregisternummer HRA 3760 gemeldet."
12776,9.0,H7,H7.0,Der Konzernabschluss zum 31. Dezember 2016 wurde unter Beachtung der gesetzlichen Gliederungs- und Bewertungsvorschriften aufgestellt. Die Gliederung der Konzernbilanz und Konzern-Gewinn- und Verlustrechnung entspricht den Erfordernissen des § 298 HGB in Verbindung mit §§ 265 ff. HGB.
12777,9.0,H7,H7.0,Die Bewertungsgrundsätze gemäß §§ 252 ff. HGB blieben im Vergleich zum Vorjahr - soweit nicht ausdrücklich genannt - unverändert.
12778,9.0,H7,H7.0,Für die Gewinn- und Verlustrechnung wurde im Geschäftsjahr das Gesamtkostenverfahren gewählt.
12779,"2, 4","H1b, H3","H1b, H3",Durch die Erstanwendung der Vorschriften des am 23. Juli 2015 in Kraft getretenen Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) ändern sich die bisherige Form der Darstellung und die bisher angewandten Ausweismethoden in der Gewinn- und Verlustrechnung. Im Einzelnen werden durch BilRUG die im Gliederungsschema der Gewinn- und Verlustrechnung enthaltenen Posten „außerordentliche Erträge“ und „außerordentliche Aufwendungen“ sowie dementsprechend die Zwischenergebnisse „Ergebnis der gewöhnlichen Geschäftstätigkeit“ und „außerordentliches Ergebnis“ gestrichen. Eine weitere Änderung des GuV-Gliederungsschemas ist die Einfügung eines Zwischenergebnisses „Ergebnis nach Steuern“ zwischen dem Posten „Steuern vom Einkommen und vom Ertrag“ und dem Posten „sonstige Steuern“. Diesbezüglich wurde eine entsprechende Anpassung der Vorjahresbeträge gemäß Art. 75 Abs. 2 EGHGB vorgenommen.
12780,"2, 3","H1b, H2","H1b, H2",Darüber hinaus ergeben sich durch die Erstanwendung des BilRUG im Geschäftsjahr 2016 Ausweisänderungen im Zusammenhang mit der Neudefinition der Umsatzerlöse. Diese betreffen insbesondere die Umsatzerlöse und die sonstigen betrieblichen Erträge sowie die korrespondierenden Aufwandsposten. Insofern sind die entsprechenden Vorjahresbeträge nicht vergleichbar.
12781,9.0,H7,H7.0,Die Bilanzierung erfolgt unter Beachtung der Going-Concern-Prämisse gem. § 252 Abs. 1 Nr. 2 HGB.
12782,8,H6,H6,"Angaben, die wahlweise in der Bilanz oder im Anhang gemacht werden können, sind insgesamt im Anhang aufgeführt. Darüber hinaus wurden zwecks Erhöhung der Klarheit und Übersichtlichkeit des Jahresabschlusses alle Davon-Vermerke der Bilanz und der Gewinn- und Verlustrechnung in den Anhang übernommen."
12783,,None,None,2. Angaben zur Konsolidierung
12784,,None,None,a) Konsolidierungskreis
12785,89,H155,H155,"Im Wege der Vollkonsolidierung einbezogen wurden diejenigen Tochtergesellschaften der Hellmann Worldwide Logistics GmbH & Co. KG, Osnabrück, bei denen die Voraussetzungen des § 290 Abs. 1 HGB erfüllt sind. Aufgrund untergeordneter Bedeutung für die Darstellung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens-, Finanz- und Ertragslage sind abweichend von diesen Grundsätzen einige Gesellschaften nach § 296 Abs. 2 HGB nicht konsolidiert worden. Der Ausweis dieser nicht einbezogenen Unternehmen erfolgt unter den Anteilen an verbundenen Unternehmen."
12786,96,H161,H161,"Diejenigen Gesellschaften, auf die ein maßgeblicher Einfluss auf die Geschäfts- und Finanzpolitik ausgeübt wird, wurden entsprechend § 311 Abs. 1 HGB (At Equity) einbezogen. In Ausübung des Wahlrechts nach § 311 Abs. 2 HGB wurden sieben assoziierte Unternehmen nicht nach der Equity-Methode in den Konzernabschluss einbezogen, wenn diese für die Vermittlung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens- und Finanzlage des Konzerns von untergeordneter Bedeutung sind. Der Ausweis dieser nicht einbezogenen Unternehmen erfolgt unter den Beteiligungen."
12787,,None,None,Daneben wurde die Befreiungsvorschrift des § 313 Abs. 2 Nr. 4 Satz 3 HGB in Anspruch genommen.
12788,,None,None,Die Aufstellung des Konsolidierungskreises gemäß § 313 Abs. 2 HGB befindet in diesem Anhangs.
12789,85,H153,H153,Im Geschäftsjahr 2016 erfolgte die erstmalige Vollkonsolidierung der folgenden Gesellschaften
12790,85,H153,H153,"• Hellmann Verwaltungs SE, Hamburg
• Hellmann Worldwide Logistics Road & Rail GmbH & Co. KG, Osnabrück
• Hellmann Worldwide Logistics Air & Sea GmbH & Co. KG, Osnabrück
• Hellmann Worldwide Logistics CL GmbH & Co. KG, Osnabrück
• Beteiligungsgesellschaft HWL Road & Rail GmbH, Osnabrück
• Beteiligungsgesellschaft HWL Air & Sea GmbH, Osnabrück
• Beteiligungsgesellschaft HWL CL GmbH, Osnabrück
• Hellmann Worldwide Logistics (Cuba) GmbH, Osnabrück
• Hellmann Immobilien Verwaltungsgesellschaft mbH & Co. KG, Polch
• Hellmann Immobilien Beteiligungsgesellschaft mbH, Polch
• Hellmann Immobilien Verwaltungsgesellschaft mbH & Co. KG, Neunkirchen
• Hellmann Immobilien Beteiligungsgesellschaft mbH, Neunkirchen
• Hellmann eCommerce GmbH & Co. KG, Osnabrück"
12791,,None,None,b) Befreiungsvorschriften für inländische Tochtergesellschaften sowie für die Muttergesellschaft
12792,100,H165,H165,Die folgenden Tochtergesellschaften nehmen die Erleichterungsvorschrift des § 264 Abs. 3 HGB hinsichtlich der Veröffentlichung ihrer Jahresabschlüsse in Anspruch:
12793,100,H165,H165,"• Hellmann Worldwide Logistics GmbH, Bielefeld
• EUROS Versicherungssysteme GmbH, Osnabrück
• Hellmann International Forwarders GmbH, Osnabrück"
12794,101,H166,H166,Die folgende Tochtergesellschaft nimmt die Erleichterungsvorschrift des § 264 b HGB hinsichtlich der Veröffentlichung ihres Jahresabschlusses in Anspruch:
12795,101,H166,H166,"• Hellmann Immobilien GmbH & Co. KG, Osnabrück"
12796,101,H166,H166,"Abweichend zum Vorjahr nimmt die Hellmann Worldwide Logistics GmbH & Co. KG, Osnabrück, die Erleichterungsvorschrift des § 5 Abs. 6 PublG hinsichtlich der Veröffentlichung ihres Jahresabschlusses nicht mehr in Anspruch. Stattdessen nimmt die Gesellschaft nunmehr auch die Erleichterungsvorschrift des § 264 b HGB hinsichtlich der Aufstellung eines Anhangs und eines Lageberichtes sowie der Veröffentlichung ihres Jahresabschlusses in Anspruch."
12797,,None,None,c) Konsolidierungsmethoden
12798,,None,None,Kapitalkonsolidierung
12799,,None,None,"Von den genannten Ausnahmen abgesehen sind alle Tochterunternehmen der Hellmann Worldwide Logistics GmbH & Co. KG, Osnabrück, im Wege der Vollkonsolidierung einbezogen worden. Die Kapitalkonsolidierung erfolgt gemäß § 301 Abs. 1 Nr. 1 HGB für alle Tochterunternehmen, die vor dem 31. Dezember 2009 erworben wurden, nach der Buchwertmethode. Für neu erworbene Tochterunternehmen ab dem 1. Januar 2010 erfolgt die Kapitalkonsolidierung nach der Neubewertungsmethode nach § 301 Abs. 1 HGB."
12800,,None,None,"Der Zeitpunkt der Erstkonsolidierungen erfolgt zum jeweiligen Zeitpunkt, zu dem das Unternehmen Tochterunternehmen geworden ist. In Ausnahmen erfolgt eine Erstkonsolidierung zum 1. Januar eines Geschäftsjahres, in welchem die Gesellschaft nicht mehr von untergeordneter Bedeutung ist."
12801,,None,None,"Die Beteiligungen an den assoziierten Unternehmen sind nach der Equity-Methode gemäß § 312 Abs. 1 Nr. 1 HGB mit dem Buchwert angesetzt worden. Als Zeitpunkt der Gegenüberstellung des Buchwerts mit dem anteiligen Eigenkapital der assoziierten Unternehmen wurde grundsätzlich der Zeitpunkt gewählt, zu dem das Unternehmen assoziiertes Unternehmen geworden ist."
12802,,None,None,Schuldenkonsolidierung
12803,,None,None,"Die Schuldenkonsolidierung entspricht den handelsrechtlichen Konsolidierungsvorschriften (§ 303 HGB). In die Schuldenkonsolidierung wurden alle Forderungen und Verbindlichkeiten einbezogen, die in den Einzel- und Konzernabschlüssen der einbezogenen Gesellschaften als Forderungen und/oder Verbindlichkeiten gegenüber verbundenen Unternehmen bzw. Gesellschaftern bei Tochterunternehmen ausgewiesen werden."
12804,,None,None,Aufwands- und Ertragskonsolidierung
12805,,None,None,"Im Konzernabschluss wurden die aus dem Liefer- und Leistungsverkehr zwischen den einbezogenen Gesellschaften sich ergebenden Erträge mit den entsprechenden Aufwendungen verrechnet. Hierbei wurde grundsätzlich unterstellt, dass den von den einbezogenen Gesellschaften gemeldeten Erträgen in gleicher Höhe Aufwendungen gegenüberstehen."
12806,,None,None,Zwischenergebniseliminierung
12807,,None,None,"Auf eine Zwischenergebniseliminierung im Bereich der Vorräte wurde verzichtet, da diese für die Vermittlung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens-, Finanz- und Ertragslage von untergeordneter Bedeutung ist (§ 304 Abs. 2 HGB). Eine Zwischenergebniseliminierung im Bereich des Anlagevermögens wurde entsprechend § 304 Abs. 1 HGB durchgeführt."
12808,,None,None,Währungsumrechnung
12809,,None,None,"Die Vermögenswerte, einschließlich Geschäfts- oder Firmenwerte, und die Verbindlichkeiten ausländischer Tochterunternehmen, deren funktionale Währung nicht der € ist, werden zum Devisenkassamittelkurs am Ende des Berichtszeitraums umgerechnet. Aufwendungen und Erträge werden hingegen zu unterjährigen Durchschnittskursen umgerechnet. Die sich aus der Umrechnung ergebenden Unterschiedsbeträge werden erfolgsneutral im Eigenkapital ausgewiesen. Erst mit dem Verkauf einer ausländischen Tochtergesellschaft erfolgt eine ergebniswirksame Behandlung im Rahmen einer Entkonsolidierung."
12810,,None,None,Fremdwährungsbewertung
12811,,None,None,"Transaktionen, die auf eine von der funktionalen Währung einer Unternehmenseinheit abweichende Währung lauten, werden in der funktionalen Währung zum Devisenkassamittelkurs am Tag ihrer erstmaligen Bilanzierung erfasst. Am Ende des Berichtszeitraums werden auf Fremdwährung lautende monetäre Vermögenswerte und Verbindlichkeiten in der funktionalen Währung mit dem dann gültigen Devisenkassamittelkurs bewertet. Gewinne und Verluste aus diesen Fremdwährungsbewertungen werden erfolgswirksam erfasst. Nicht monetäre Konzernbilanzposten in Fremdwährung werden zu historischen Wechselkursen fortgeführt."
12812,,None,None,3. Bilanzierungs- und Bewertungsmethoden
12813,"9.2, 9.7","H7, H7","H7.2, H7.7",Die immateriellen Vermögensgegenstände und Sachanlagen werden gemäß § 253 Abs. 3 HGB mit den Anschaffungskosten abzüglich planmäßiger Abschreibungen bewertet. Die Abschreibungssätze bemessen sich für Neuzugänge ab dem 1. Januar 2010 nach der tatsächlichen wirtschaftlichen Nutzungsdauer der Vermögensgegenstände.
12814,9.7,H7,H7.7,"Für geringwertige Wirtschaftsgüter, deren Anschaffungs- oder Herstellungskosten, vermindert um einen darin enthaltenen Vorsteuerbetrag, für das einzelne Wirtschaftsgut € 410 nicht übersteigen,wird handelsrechtlich die steuerrechtliche Regelung des § 6 Abs. 2 EStG angewendet."
12815,"9.5, 14, 92","H7, H16, H157","H7.5, H16, H157",Die Geschäfts- oder Firmenwerte werden unter Berücksichtigung der zukünftigen Nutzung über die voraussichtlich wirtschaftliche Nutzungsdauer abgeschrieben. Vor dem Geschäftsjahr 2010 erworbene Geschäfts- oder Firmenwerte werden über eine Nutzungsdauer von 15 Jahren linear abgeschrieben. Die betriebliche Nutzungsdauer der ab 2010 neu hinzugekommenen Geschäfts- oder Firmenwerte beträgt planmäßig fünf Jahre.
12816,9.12,H7,H7.12,Die Finanzanlagen werden zu Anschaffungskosten oder dem niedrigeren beizulegenden Wert gemäß § 253 Abs. 3 Satz 3 HGB bilanziert.
