,annotation_original,annotation_unique,annotation_unique_extra,blob
8085,15,H17a,H17a,"Anschaffungs- und Herstellungskosten
Zuschüsse Abgänge Abgänge Konsolidierung 31.12.2016
III. Finanzanlagen
1. Anteile an verbundenen Unternehmen
0 1.167 2.293 12.947
2. Ausleihungen an verbundene Unternehmen
0 518 0 572
3. Beteiligungen an assoziierten Unternehmen
0 0 0 74.750
4. Beteiligungen -16.272 0 119.203
5. Ausleihungen an Unternehmen,
mit de- nen ein Beteiligungsverhältnis
besteht
0 0 0 6.330
6. Sonstige Ausleihungen 0 111 0 1.888
-16.272 1.796 2.293 215.690
-16.483 26.453 -1.891 5.043.475"
8086,"15, 16","H17a, H17c","H17a, H17c","Kumulierte Abschreibungen
01.01.2016 Währungsdifferenz Zugänge Zuschreibungen Abgänge
Abgänge Konsolidierung
31.12.2016
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene
Konzessionen,
Lizenzen, Nutzungsrechte,
EDV- Programme
und Grunddienstbarkeiten
119.492 -121 7.695 0 1.464 0 125.602
2. Geschäfts- oder Firmenwert
160.570 0 80 0 0 -37 160.613
3. Geleistete Anzahlungen
0 0 0 0 0 -1 -1
280.062 -121 7.775 0 1.464 -38 286.214
II. Sachanlagen"
8087,"15, 16","H17a, H17c","H17a, H17c","Kumulierte Abschreibungen
01.01.2016 Währungsdifferenz Zugänge Zuschreibungen Abgänge
Abgänge Konsolidierung
31.12.2016
1. Grundstücke,
grundstücksgleiche
Rechte und Bauten
einschließlich der
Bauten auf fremden
Grundstücken
266.209 -2.721 13.661 0 868 -578 275.703
2. Technische Anlagen
und Maschinen
2.103.223 -1.380 109.829 -224 13.085 -701 2.197.662
3. Andere Anlagen,
Betriebs- und Geschäftsausstattung
63.034 -356 8.683 0 3.797 -44 67.520
4. Geleistete Anzahlungen
und Anlagen
im Bau
1.126 -14 0 0 576 -542 -6
2.433.592 -4.471 132.173 -224 18.326 -1.865 2.540.879
III. Finanzanlagen
1. Anteile an verbundenen
Unternehmen
1.648 0 0 0 0 0 1.648
2. Ausleihungen an
verbundene Unternehmen
0 0 0 0 0 0 0
3. Beteiligungen an
assoziierten Unternehmen
71.581 0 0 0 0 0 71.581
4. Beteiligungen 983 -4 0 0 0 0 979
5. Ausleihungen an
Unternehmen, mit denen
ein Beteiligungsverhältnis
besteht
1.861 0 0 0 0 0 1.861
6. Sonstige Ausleihungen
257 0 0 0 0 0 257
76.330 -4 0 0 0 0 76.326"
8088,"15, 16","H17a, H17c","H17a, H17c","Kumulierte Abschreibungen
01.01.2016 Währungsdifferenz Zugänge Zuschreibungen Abgänge
Abgänge Konsolidierung
31.12.2016
2.789.984 -4.596 139.948 -224 19.790 -1.903 2.903.419
in TEUR Buchwerte
31.12.2016 31.12.2015
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene Konzessionen, Lizenzen, Nutzungsrechte,
EDV- Programme und Grunddienstbarkeiten
13.642 21.223
2. Geschäfts- oder Firmenwert 0 80
3. Geleistete Anzahlungen 1.876 2.432
15.518 23.735
II. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich
der Bauten auf fremden Grundstücken
316.218 290.533
2. Technische Anlagen und Maschinen 1.565.431 1.544.724
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 22.427 18.280
4. Geleistete Anzahlungen und Anlagen im Bau 81.098 103.939
1.985.174 1.957.476
III. Finanzanlagen
1. Anteile an verbundenen Unternehmen 11.299 6.423
2. Ausleihungen an verbundene Unternehmen 572 671
3. Beteiligungen an assoziierten Unternehmen 3.169 2.345
4. Beteiligungen 118.224 133.399
5. Ausleihungen an Unternehmen, mit de- nen ein Beteiligungsverhältnis
besteht
4.469 4.469
6. Sonstige Ausleihungen 1.631 1.672
139.364 148.979
2.140.056 2.130.190"
8089,,None,None,Konzernanhang für das Geschäftsjahr 2016
8090,,None,None,1. Allgemeine Angaben
8091,83,H151,H151,"Die Hellmann Worldwide Logistics GmbH & Co. KG, Osnabrück ist beim Handelsregister A des Amtsgerichts Osnabrück unter der Handelsregisternummer HRA 3760 gemeldet."
8092,9.0,H7,H7.0,Der Konzernabschluss zum 31. Dezember 2016 wurde unter Beachtung der gesetzlichen Gliederungs- und Bewertungsvorschriften aufgestellt. Die Gliederung der Konzernbilanz und Konzern-Gewinn- und Verlustrechnung entspricht den Erfordernissen des § 298 HGB in Verbindung mit §§ 265 ff. HGB.
8093,9.0,H7,H7.0,Die Bewertungsgrundsätze gemäß §§ 252 ff. HGB blieben im Vergleich zum Vorjahr - soweit nicht ausdrücklich genannt - unverändert.
8094,9.0,H7,H7.0,Für die Gewinn- und Verlustrechnung wurde im Geschäftsjahr das Gesamtkostenverfahren gewählt.
8095,"2, 4","H1b, H3","H1b, H3",Durch die Erstanwendung der Vorschriften des am 23. Juli 2015 in Kraft getretenen Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) ändern sich die bisherige Form der Darstellung und die bisher angewandten Ausweismethoden in der Gewinn- und Verlustrechnung. Im Einzelnen werden durch BilRUG die im Gliederungsschema der Gewinn- und Verlustrechnung enthaltenen Posten „außerordentliche Erträge“ und „außerordentliche Aufwendungen“ sowie dementsprechend die Zwischenergebnisse „Ergebnis der gewöhnlichen Geschäftstätigkeit“ und „außerordentliches Ergebnis“ gestrichen. Eine weitere Änderung des GuV-Gliederungsschemas ist die Einfügung eines Zwischenergebnisses „Ergebnis nach Steuern“ zwischen dem Posten „Steuern vom Einkommen und vom Ertrag“ und dem Posten „sonstige Steuern“. Diesbezüglich wurde eine entsprechende Anpassung der Vorjahresbeträge gemäß Art. 75 Abs. 2 EGHGB vorgenommen.
8096,"2, 3","H1b, H2","H1b, H2",Darüber hinaus ergeben sich durch die Erstanwendung des BilRUG im Geschäftsjahr 2016 Ausweisänderungen im Zusammenhang mit der Neudefinition der Umsatzerlöse. Diese betreffen insbesondere die Umsatzerlöse und die sonstigen betrieblichen Erträge sowie die korrespondierenden Aufwandsposten. Insofern sind die entsprechenden Vorjahresbeträge nicht vergleichbar.
8097,9.0,H7,H7.0,Die Bilanzierung erfolgt unter Beachtung der Going-Concern-Prämisse gem. § 252 Abs. 1 Nr. 2 HGB.
8098,8,H6,H6,"Angaben, die wahlweise in der Bilanz oder im Anhang gemacht werden können, sind insgesamt im Anhang aufgeführt. Darüber hinaus wurden zwecks Erhöhung der Klarheit und Übersichtlichkeit des Jahresabschlusses alle Davon-Vermerke der Bilanz und der Gewinn- und Verlustrechnung in den Anhang übernommen."
8099,,None,None,2. Angaben zur Konsolidierung
8100,,None,None,a) Konsolidierungskreis
8101,89,H155,H155,"Im Wege der Vollkonsolidierung einbezogen wurden diejenigen Tochtergesellschaften der Hellmann Worldwide Logistics GmbH & Co. KG, Osnabrück, bei denen die Voraussetzungen des § 290 Abs. 1 HGB erfüllt sind. Aufgrund untergeordneter Bedeutung für die Darstellung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens-, Finanz- und Ertragslage sind abweichend von diesen Grundsätzen einige Gesellschaften nach § 296 Abs. 2 HGB nicht konsolidiert worden. Der Ausweis dieser nicht einbezogenen Unternehmen erfolgt unter den Anteilen an verbundenen Unternehmen."
8102,96,H161,H161,"Diejenigen Gesellschaften, auf die ein maßgeblicher Einfluss auf die Geschäfts- und Finanzpolitik ausgeübt wird, wurden entsprechend § 311 Abs. 1 HGB (At Equity) einbezogen. In Ausübung des Wahlrechts nach § 311 Abs. 2 HGB wurden sieben assoziierte Unternehmen nicht nach der Equity-Methode in den Konzernabschluss einbezogen, wenn diese für die Vermittlung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens- und Finanzlage des Konzerns von untergeordneter Bedeutung sind. Der Ausweis dieser nicht einbezogenen Unternehmen erfolgt unter den Beteiligungen."
8103,,None,None,Daneben wurde die Befreiungsvorschrift des § 313 Abs. 2 Nr. 4 Satz 3 HGB in Anspruch genommen.
8104,,None,None,Die Aufstellung des Konsolidierungskreises gemäß § 313 Abs. 2 HGB befindet in diesem Anhangs.
8105,85,H153,H153,Im Geschäftsjahr 2016 erfolgte die erstmalige Vollkonsolidierung der folgenden Gesellschaften
8106,85,H153,H153,"• Hellmann Verwaltungs SE, Hamburg
• Hellmann Worldwide Logistics Road & Rail GmbH & Co. KG, Osnabrück
• Hellmann Worldwide Logistics Air & Sea GmbH & Co. KG, Osnabrück
• Hellmann Worldwide Logistics CL GmbH & Co. KG, Osnabrück
• Beteiligungsgesellschaft HWL Road & Rail GmbH, Osnabrück
• Beteiligungsgesellschaft HWL Air & Sea GmbH, Osnabrück
• Beteiligungsgesellschaft HWL CL GmbH, Osnabrück
• Hellmann Worldwide Logistics (Cuba) GmbH, Osnabrück
• Hellmann Immobilien Verwaltungsgesellschaft mbH & Co. KG, Polch
• Hellmann Immobilien Beteiligungsgesellschaft mbH, Polch
• Hellmann Immobilien Verwaltungsgesellschaft mbH & Co. KG, Neunkirchen
• Hellmann Immobilien Beteiligungsgesellschaft mbH, Neunkirchen
• Hellmann eCommerce GmbH & Co. KG, Osnabrück"
8107,,None,None,b) Befreiungsvorschriften für inländische Tochtergesellschaften sowie für die Muttergesellschaft
8108,100,H165,H165,Die folgenden Tochtergesellschaften nehmen die Erleichterungsvorschrift des § 264 Abs. 3 HGB hinsichtlich der Veröffentlichung ihrer Jahresabschlüsse in Anspruch:
8109,100,H165,H165,"• Hellmann Worldwide Logistics GmbH, Bielefeld
• EUROS Versicherungssysteme GmbH, Osnabrück
• Hellmann International Forwarders GmbH, Osnabrück"
8110,101,H166,H166,Die folgende Tochtergesellschaft nimmt die Erleichterungsvorschrift des § 264 b HGB hinsichtlich der Veröffentlichung ihres Jahresabschlusses in Anspruch:
8111,101,H166,H166,"• Hellmann Immobilien GmbH & Co. KG, Osnabrück"
8112,101,H166,H166,"Abweichend zum Vorjahr nimmt die Hellmann Worldwide Logistics GmbH & Co. KG, Osnabrück, die Erleichterungsvorschrift des § 5 Abs. 6 PublG hinsichtlich der Veröffentlichung ihres Jahresabschlusses nicht mehr in Anspruch. Stattdessen nimmt die Gesellschaft nunmehr auch die Erleichterungsvorschrift des § 264 b HGB hinsichtlich der Aufstellung eines Anhangs und eines Lageberichtes sowie der Veröffentlichung ihres Jahresabschlusses in Anspruch."
8113,,None,None,c) Konsolidierungsmethoden
8114,,None,None,Kapitalkonsolidierung
8115,,None,None,"Von den genannten Ausnahmen abgesehen sind alle Tochterunternehmen der Hellmann Worldwide Logistics GmbH & Co. KG, Osnabrück, im Wege der Vollkonsolidierung einbezogen worden. Die Kapitalkonsolidierung erfolgt gemäß § 301 Abs. 1 Nr. 1 HGB für alle Tochterunternehmen, die vor dem 31. Dezember 2009 erworben wurden, nach der Buchwertmethode. Für neu erworbene Tochterunternehmen ab dem 1. Januar 2010 erfolgt die Kapitalkonsolidierung nach der Neubewertungsmethode nach § 301 Abs. 1 HGB."
8116,,None,None,"Der Zeitpunkt der Erstkonsolidierungen erfolgt zum jeweiligen Zeitpunkt, zu dem das Unternehmen Tochterunternehmen geworden ist. In Ausnahmen erfolgt eine Erstkonsolidierung zum 1. Januar eines Geschäftsjahres, in welchem die Gesellschaft nicht mehr von untergeordneter Bedeutung ist."
8117,,None,None,"Die Beteiligungen an den assoziierten Unternehmen sind nach der Equity-Methode gemäß § 312 Abs. 1 Nr. 1 HGB mit dem Buchwert angesetzt worden. Als Zeitpunkt der Gegenüberstellung des Buchwerts mit dem anteiligen Eigenkapital der assoziierten Unternehmen wurde grundsätzlich der Zeitpunkt gewählt, zu dem das Unternehmen assoziiertes Unternehmen geworden ist."
8118,,None,None,Schuldenkonsolidierung
8119,,None,None,"Die Schuldenkonsolidierung entspricht den handelsrechtlichen Konsolidierungsvorschriften (§ 303 HGB). In die Schuldenkonsolidierung wurden alle Forderungen und Verbindlichkeiten einbezogen, die in den Einzel- und Konzernabschlüssen der einbezogenen Gesellschaften als Forderungen und/oder Verbindlichkeiten gegenüber verbundenen Unternehmen bzw. Gesellschaftern bei Tochterunternehmen ausgewiesen werden."
8120,,None,None,Aufwands- und Ertragskonsolidierung
8121,,None,None,"Im Konzernabschluss wurden die aus dem Liefer- und Leistungsverkehr zwischen den einbezogenen Gesellschaften sich ergebenden Erträge mit den entsprechenden Aufwendungen verrechnet. Hierbei wurde grundsätzlich unterstellt, dass den von den einbezogenen Gesellschaften gemeldeten Erträgen in gleicher Höhe Aufwendungen gegenüberstehen."
8122,,None,None,Zwischenergebniseliminierung
8123,,None,None,"Auf eine Zwischenergebniseliminierung im Bereich der Vorräte wurde verzichtet, da diese für die Vermittlung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens-, Finanz- und Ertragslage von untergeordneter Bedeutung ist (§ 304 Abs. 2 HGB). Eine Zwischenergebniseliminierung im Bereich des Anlagevermögens wurde entsprechend § 304 Abs. 1 HGB durchgeführt."
8124,,None,None,Währungsumrechnung
8125,,None,None,"Die Vermögenswerte, einschließlich Geschäfts- oder Firmenwerte, und die Verbindlichkeiten ausländischer Tochterunternehmen, deren funktionale Währung nicht der € ist, werden zum Devisenkassamittelkurs am Ende des Berichtszeitraums umgerechnet. Aufwendungen und Erträge werden hingegen zu unterjährigen Durchschnittskursen umgerechnet. Die sich aus der Umrechnung ergebenden Unterschiedsbeträge werden erfolgsneutral im Eigenkapital ausgewiesen. Erst mit dem Verkauf einer ausländischen Tochtergesellschaft erfolgt eine ergebniswirksame Behandlung im Rahmen einer Entkonsolidierung."
8126,,None,None,Fremdwährungsbewertung
8127,,None,None,"Transaktionen, die auf eine von der funktionalen Währung einer Unternehmenseinheit abweichende Währung lauten, werden in der funktionalen Währung zum Devisenkassamittelkurs am Tag ihrer erstmaligen Bilanzierung erfasst. Am Ende des Berichtszeitraums werden auf Fremdwährung lautende monetäre Vermögenswerte und Verbindlichkeiten in der funktionalen Währung mit dem dann gültigen Devisenkassamittelkurs bewertet. Gewinne und Verluste aus diesen Fremdwährungsbewertungen werden erfolgswirksam erfasst. Nicht monetäre Konzernbilanzposten in Fremdwährung werden zu historischen Wechselkursen fortgeführt."
8128,,None,None,3. Bilanzierungs- und Bewertungsmethoden
8129,"9.2, 9.7","H7, H7","H7.2, H7.7",Die immateriellen Vermögensgegenstände und Sachanlagen werden gemäß § 253 Abs. 3 HGB mit den Anschaffungskosten abzüglich planmäßiger Abschreibungen bewertet. Die Abschreibungssätze bemessen sich für Neuzugänge ab dem 1. Januar 2010 nach der tatsächlichen wirtschaftlichen Nutzungsdauer der Vermögensgegenstände.
8130,9.7,H7,H7.7,"Für geringwertige Wirtschaftsgüter, deren Anschaffungs- oder Herstellungskosten, vermindert um einen darin enthaltenen Vorsteuerbetrag, für das einzelne Wirtschaftsgut € 410 nicht übersteigen,wird handelsrechtlich die steuerrechtliche Regelung des § 6 Abs. 2 EStG angewendet."
8131,"9.5, 14, 92","H7, H16, H157","H7.5, H16, H157",Die Geschäfts- oder Firmenwerte werden unter Berücksichtigung der zukünftigen Nutzung über die voraussichtlich wirtschaftliche Nutzungsdauer abgeschrieben. Vor dem Geschäftsjahr 2010 erworbene Geschäfts- oder Firmenwerte werden über eine Nutzungsdauer von 15 Jahren linear abgeschrieben. Die betriebliche Nutzungsdauer der ab 2010 neu hinzugekommenen Geschäfts- oder Firmenwerte beträgt planmäßig fünf Jahre.
8132,9.12,H7,H7.12,Die Finanzanlagen werden zu Anschaffungskosten oder dem niedrigeren beizulegenden Wert gemäß § 253 Abs. 3 Satz 3 HGB bilanziert.
8133,"9.12, 97","H7, H162","H7.12, H162",Die assoziierten Unternehmen wenden zum Teil die Bilanzierungs- und Bewertungsmethoden des Handelsgesetzbuches an bzw. richten sich nach den lokalen Bilanzierungs- und Bewertungsmethoden. Die Summe der negativen Equity-Werte beträgt zum 31. Dezember 2016 T€ 0 (Vorjahr: T€ 3.299).
8134,9.20,H7,H7.20,Das Vorratsvermögen wird zu Anschaffungs- bzw. Herstellungskosten unter Beachtung des strengen Niederstwertprinzips bewertet. Die Bewertung der Herstellungskosten erfolgt unter Einbezug notwendiger Gemeinkosten.
8135,9.25,H7,H7.25,Forderungen und sonstige Vermögensgegenstände wurden mit ihrem Nominalwert angesetzt. Für erkennbare Einzelrisiken und das allgemeine Ausfallrisiko wurden Wertberichtigungen gebildet.
8136,9.33,H7,H7.33,Die flüssigen Mittel sind mit dem Nominalwert bilanziert.
8137,9.34,H7,H7.34,"Als aktive Rechnungsabgrenzungsposten sind Auszahlungen vor dem Abschlussstichtag angesetzt, soweit sie Aufwand für einen bestimmten Zeitraum nach diesem Zeitpunkt darstellen."
8138,"9.35, 25","H7, H31","H7.35, H31","Latente Steuern wurden nach dem „Temporary-Konzept“ als Differenz zwischen den handels- und steuerrechtlichen Wertansätzen für alle Bilanzposten separat berechnet. Es wurden nur diejenigen Differenzen berücksichtigt, die sich in späteren Geschäftsjahren voraussichtlich wieder abbauen. Darüber hinaus werden aktive latente Steuern auf die bestehenden steuerlichen Verlustvorträge gebildet, soweit innerhalb der nächsten fünf Jahre eine Verlustverrechnung zu erwarten ist. Die aktiven und passiven latenten Steuern im Geschäftsjahr werden auf Ebene der Gesellschaften saldiert und in Ausübung des Wahlrechts nach § 306 S. 2 HGB unsaldiert ausgewiesen."
8139,"9.35, 25","H7, H31","H7.35, H31",Die Bewertung der anzusetzenden Bilanzposten für latente Steuern basiert auf den unternehmensindividuellen Steuersätzen im jeweils zu erwartenden Zeitpunkt des Abbaus der jeweiligen Differenzen.
8140,9.37,H7,H7.37,Die Kapitalanteile der Kommanditisten werden zum Nennwert bilanziert.
8141,"9.48, 35, 36","H7, H50, H51","H7.48, H50, H51","Die Pensionsverpflichtungen werden auf der Grundlage versicherungsmathematischer Gutachten nach dem Anwartschaftsbarwertverfahren („Projected Unit Credit Method“) unter Berücksichtigung der Richttafeln 2005 G von Prof. Dr. Heubeck passiviert. Die erwarteten Lohn- und Gehaltssteigerungen betragen 0 v.H. Für die Abzinsung der Pensionsverpflichtung wird nicht mehr der auf Basis der von der Deutschen Bundesbank veröffentlichten durchschnittlichen Marktzinssätze der vergangenen sieben Geschäftsjahre (3,24 v.H.) zugrunde gelegt, sondern der nach § 253 Abs. 2 HGB veränderte Rechnungszins auf Basis der letzten zehn Jahre, welcher für 2016 4,01 v.H. beträgt. Der Differenzbetrag der Rückstellung aus den beiden unterschiedlichen Zinssätzen von T€ 157 ist nach gemäß § 253 Abs. 6 S. 1 HGB mit einer Ausschüttungssperre belegt."
8142,9.47,H7,H7.47,Die Rückstellungen sind gemäß § 253 Abs. 1 Satz 2 HGB in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrages angesetzt worden.
8143,9.51,H7,H7.51,Die Verbindlichkeiten sind gemäß § 253 Abs. 1 Satz 2 HGB zu ihrem Erfüllungsbetrag angesetzt worden.
8144,"9.0, 98","H7, H163","H7.0, H163",Auf die Anpassung an die konzerneinheitliche Bewertung bei assoziierten Unternehmen gemäß § 312 Abs. 5 HGB wurde verzichtet.
8145,9.0,H7,H7.0,"Die aus Bewertungseinheiten, die zur Absicherung von Währungsrisiken gebildet wurden, resultierenden Aufwendungen und Erträge werden gemäß § 254 HGB i.V.m. § 256a HGB saldiert dargestellt."
8146,,None,None,"4. Angaben und Erläuterungen zum Konzernabschluss
"
8147,,None,None,a) Bilanz
8148,5.1,H3a,H3a.1,Anlagevermögen
8149,5.1,H3a,H3a.1,Die Gliederung und Entwicklung der einzelnen Posten des Anlagevermögens und die Abschreibungen des Berichtsjahres sind im beigefügten Anlagenspiegel dargestellt.
8150,"5.1, 2","H3a, H1b","H3a.1, H1b","In den „Grundstücke, grundstücksgleichen Rechten und Bauten“ waren im Vorjahr Vermögensgegenstände der amerikanischen Tochtergesellschaft, Hellmann Worldwide Logistics Inc., Miami, USA, in Höhe von T€ 3.317 enthalten, die anderen Anlagenklassen zuzuordnen sind. Die Vermögensgegenstände wurden im Berichtsjahr in die Anlagenklassen „Andere Anlagen, Betriebs- und Geschäftsausstattung“ (T€ 1.706) sowie „Geleistete Anzahlungen und Anlagen im Bau“ (T€ 1.611) umgebucht. Die vorgenannten Umbuchungen sind im beigefügten Anlagenspiegel in den Beträgen der Spalte Umbuchungen enthalten. Korrigiert um diese Beträge ergeben sich Umbuchungen von „Geleistete Anzahlungen und Anlagen in Bau“ (T€ -2.458) in „Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte“ (T€ 71), in Grundstücke, grundstücksgleiche Rechte und (T€ 72) sowie in „Andere Anlagen, Betriebs- und Geschäftsausstattung“ (T€ 2.315)."
8151,"5.18, 19","H3a, H19","H3a.18, H19",In den sonstigen Ausleihungen sind Ausleihungen an Gesellschafter in Höhe von T€ 15.226 (Vorjahr T€ 15.226) enthalten.
8152,5.25,H3a,H3a.25,Forderungen und sonstige Vermögensgegenstände
8153,5.29,H3a,H3a.29,"Die sonstigen Vermögensgegenstände enthalten Ansprüche aus Kautionen und Zöllen in Höhe von insgesamt T€ 44 (Vorjahr T€ 44), die eine Restlaufzeit von mehr als einem Jahr haben."
8154,"5.27, 7","H3a, H5","H3a.27, H5",Die Forderungen gegen verbundene Unternehmen resultieren aus Lieferungen und Leistungen.
8155,5.34,H3a,H3a.34,Rechnungsabgrenzungsposten
8156,"5.34, 23","H3a, H28","H3a.34, H28",Der aktive Rechnungsabgrenzungsposten enthält einen Unterschiedsbetrags (Disagio) in Höhe von T€ 1 (Vorjahr T€ 1).
8157,"5.35, 5.64, 25","H3a, H3a, H31","H3a.35, H3a.64, H31",Latente Steuern
8158,"5.35, 5.64, 25","H3a, H3a, H31","H3a.35, H3a.64, H31",Die aktiven und passiven latenten Steuern resultieren im Wesentlichen aus Steuern auf zeitliche Buchungsunterschiede sowie steuerliche Verlustvorträge.
8159,"5.35, 25, 27","H3a, H31, H33","H3a.35, H31, H33","Latente Steuern auf Verlustvorträge in Höhe von T€ 230.647 (Vorjahr T€ 181.044) wurden nicht aktiviert, da von einer Realisierung der Steueransprüche in absehbarer Zeit nicht auszugehen ist. Die Verlustvorträge zum 31. Dezember 2016, auf die aktive latente Steuern gebildet wurden, betreffen die Muttergesellschaft sowie in- und ausländische Tochtergesellschaften."
8160,"5.35, 5.64, 25","H3a, H3a, H31","H3a.35, H3a.64, H31",Folgende Differenzen und Steuersätze wurden bei der Berechnung zugrunde gelegt:
8161,"5.35, 5.64, 25","H3a, H3a, H31","H3a.35, H3a.64, H31","Bilanzposition Steuersatz Aktive latente Steuern
TEUR Passive latente Steuern
TEUR
Immaterielle Vermögensgegenstände 26,00% 0 -6
  28,00% 0 -4
  30,00% 18 -150
  34,00% 63 0
Sachanlagevermögen 15,00% 0 -3.995
  19,00% 0 -65
  24,00% 2 0
  26,00% 14 -2
  30,00% 238 0
  34,00% 170 0
  39,00% 2.048 0
Finanzanlagevermögen 26,00% 0 -23
  28,00% 0 -43
  30,00% 6 0
  34,00% 113 0
  39,00% 841 0
Umlaufvermögen und 20,00% 145 0
übrige Aktiva 22,00% 0 -26
  26,00% 0 -70
  28,00% 18 -111
  30,00% 88 0
  34,00% 23 0
Rückstellungen 22,00% 33 0
  24,00% 13 0
  28,00% 136 0
  30,00% 737 0
  34,00% 77 0
  39,00% 589 0
Verbindlichkeiten 17,00% 0 -73
  20,00% 1 0
  22,00% 172 0
  25,00% 76 0
  26,00% 127 0
  28,00% 380 0
  30,00% 1.043 0
  34,00% 12 0
  39,00% 1.698 0
Latente Steuern aus Verlustvorträgen 15,00% 3.995 0
  17,00% 145 0
  19,00% 92 0
  20,00% 13 0
  22,00% 8 0
  24,00% 6 0
  25,00% 1.995 0
  28,00% 529 0
  30,00% 400 0
  34,00% 91 0
  39,00% 18.227 0
Summe aus Bewertungsunterschieden   8.879 -4.567
Summe aus Verlustvorträgen   25.356 0
Umgliederung   -4.495 4.495
Gesamt   29.740 -72"
8162,"5.35, 5.64, 25","H3a, H3a, H31","H3a.35, H3a.64, H31",Zum Bilanzstichtag ergibt sich nach Gesamtdifferenzenbetrachtung der unsaldierten bilanzierten aktiven und passiven latenten Steuern ein Aktivüberhang der latenten Steuern von T€ 29.668 (Vorjahr: T€ 16.019). Die Veränderung der latenten Steuern ist im Wesentlichen auf die Aktivierung aktiver latenter Steuern auf Verlustvorträge in den USA zurückzuführen. Die Gesellschaft macht von dem Aktivierungswahrecht des § 274 Abs. 1 Satz 2 HGB Gebrauch.
8163,5.37,H3a,H3a.37,Eigenkapital
8164,"5.45, 33","H3a, H44","H3a.45, H44",Der Konzernbilanzgewinn enthält einen Gewinnvortrag in Höhe von T€ 117.470 (Vorjahr T€ 126.203).
8165,,None,None,Anteile im Fremdbesitz
8166,,None,None,In den Anteilen im Fremdbesitz sind negative Anteile mit einem Gesamtbetrag von T€ 852 (Vorjahr T€ 991) saldiert ausgewiesen.
8167,5.51,H3a,H3a.51,Verbindlichkeiten
8168,5.51,H3a,H3a.51,Die Restlaufzeiten der Verbindlichkeiten und die Besicherung sind im beigefügten Verbindlichkeitenspiegel dargestellt.
8169,"5.58, 7","H3a, H5","H3a.58, H5","Die Verbindlichkeiten gegenüber verbundenen Unternehmen enthalten kurzfristige Darlehen in Höhe von T€ 18 (Vorjahr T€ 0), alle weiteren Verbindlichkeiten resultieren aus Lieferungen und Leistungen."
8170,44,H65,H65,Haftungsverhältnisse
8171,"44, 45","H65, H 67","H65, H 67","Die Haftungsverhältnisse in Höhe von T€ 6.599 bestehen gegenüber Banken. Wir schätzen die Inanspruchnahme aus diesen Haftungsverhältnissen als äußerst gering ein, da alle Verpflichtungen, die den Haftungsverhältnissen gegenüber stehen, vollumfänglich erfüllt werden."
8172,,None,None,b) Gewinn- und Verlustrechnung
8173,,None,None,Erstanwendung des BilRUG
8174,49,H76,H76,Aufgrund der Erstanwendung des BilRUG im Geschäftsjahr 2016 sind die Umsatzerlöse nach § 277 Abs. 1 HGB nicht mit denen des Vorjahres vergleichbar. Die gemäß BilRUG nunmehr in den Umsatzerlösen berücksichtigten sonstigen betrieblichen Erträge (T€ 27.053) waren im Vorjahr in den sonstigen betrieblichen Erträgen (T€ 74.315) ausgewiesen. Somit hätten sich bei Anwendung des BilRUG im Vorjahr Umsatzerlöse in Höhe von T€ 2.348.327 und sonstige betriebliche Erträge in Höhe von T€ 47.262 ergeben. Außerdem würden im Vorjahr sonstige betriebliche Aufwendungen im Zusammenhang mit erbrachten Leistungen in Höhe von T€ 7.711 in den Materialaufwand unter bezogene Leistungen ausgewiesen.
8175,"5.66, 48","H3a, None","H3a.66, None",Aufgliederung der Umsatzerlöse
8176,"5.66, 48","H3a, None","H3a.66, None",Die Umsatzerlöse setzen sich wie folgt nach Regionen und Geschäftsbereichen zusammen:
8177,"5.66, 48","H3a, None","H3a.66, None","2016
T€
Europa 1.143.861
Amerika 500.173
Asien 336.112
OMEA 308.126
  2.288.272
2016
T€
Seafreight 762.779
Trailer 626.840
Airfreight 617.123
Contract Logistics & Consulting 157.527
Übriges 124.003
  2.288.272"
8178,5.88,H3a,H3a.88,Zinsen und ähnliche Aufwendungen
8179,"5.88, 53","H3a, H86","H3a.88, H86",In den sonstigen Zinsen und ähnlichen Aufwendungen werden Aufwendungen aus der Aufzinsung von Rückstellungen in Höhe von T€ 52 (Vorjahr T€ 51) ausgewiesen.
8180,55,H89,H89,Aufwendungen und Erträge von außergewöhnlicher Bedeutung
8181,55,H89,H89,Die Aufwendungen von außergewöhnlicher Bedeutung sind in Höhe von T€ 729 (Vorjahr T€ 323) im Personalaufwand sowie in Höhe von T€ 22.262 (Vorjahr T€ 8.058) in den sonstigen betrieblichen Aufwendungen enthalten. Sie setzen sich wie folgt zusammen:
