;  Annotierung (Angabe Nummer in Anahngscheckliste)  ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Fußnote
87. Geneva Fuelling Services
SA
88. Georg Reitberger Mineralöle
Verwaltungs GmbH
89. Reitberger Mineralöle
GmbH & Co. KG
90. GezamenliJke Tankdienst
Schiphol B.V.
91. GlobeFuel Systems & Services
GmbH Lt.
92. GVO Gebinde-Verwertungsgesellschaft
der Mineralölwirtschaft
mbH
93. Hamburg Fuelling Services
(HFS) GbR
94. Hamburg Tank Service
(HTS) GbR
95. Heinrich Flp GmbH & Co.
KG
96. Heinrich Fip Tankstellen
Betriebs GmbH
1)
97. Hydranten-Betriebs OHG
Flughafen Frankfurt/Main
98. Klaus Köhn GmbH
99. Köhn & Plambeck GmbH
& Co. KG
100. Kurt Ammenn GmbH &
Co. KG
101. Langenhagen Fuelling Services
(LFS) GbR
102. Land Gut Wohnbau Errichlungs
GmbH"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Fußnote
103. Lotos-Air BP Polska Sp. z
o.o.
104. Lully.01 SA
105. Mineralöl-Handelsgesellschaft
mbH
106. Mobene GmbH & Co. KG
107. Hiergeist Heizölhandel
GmbH & Co. KG
108. Hiergeist Verwaltungs
GmbH
109. COM-OII. Energie i- Service
GmbH
110. Bären Wärme Mineraloelgesellschaft
mbH
111. BMG Energie und Service
GmbH & Co. KG
112. T & M Mineralöl GmbH
& Co. KG
113. CETAN Logistik GmbH &
Co. KG
114. CETAN Logistik Verwaltungs-
GmbH
115. Oft GROUP Mineralölhandel
GmbH & Co. KG
116. Zweigle Mineralöl GmbH
& Co. KG
117. Mobene B.V.
118. Schimpfhauser & Dengler
GmbH
119. sd Logistik GmbH
120. Oel-Huff Energie GmbH
& Co. KG"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Fußnote
121. Mobene Verwaltungs-
GmbH
122. Mövenpick Raststätte
Glarnerland AG
123. Multi Tank Card B.V.
124. Nord-West Ölleitung
GmbH
125. Oelwerke Jullus Schindier
GmbH
126. Rühl Gesellschaft m.b.H.
& Co. KG
127. Paul Harling Mineralöle
GmbH & Co. KG
128. Petrostock SA
129. Raimund Mineralöl GmbH 1)
130. Rhein-Main-Rohrleitungstransportgesellschaft
mbH
131. Rühl Gesellschaft m.b.H.
& Co. KG
132. Ruhr Oel Gesellschaft mä
beschränkter Haftung
133. DHC Solvent Chemie Gesellschaft
mit beschränkter
Haftung
134. Maatschap Europoort Terminal
135. N. V. Rotterdam-Rip
Njplatt:ling MaatschappiJ
136. Nord-West Ölleitung
GmbH
137. Runde' Mineralölvertrieb
GmbH
138. Salzburg Fuelling GmbH"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Fußnote
139. SARACO SA
140. SAPPRO SA (Socieba du
pipeline a produits petroliers
sur territoire genevois)
141. SBB Dortmund GmbH
Dienstleistungs- und Handelsbetriebe
142. Società Italiana per rOleodotto
Transapino S.P.A.
143. STDG Straßentransport
Dispositionsgesellschaft
mbH
144. Tankanlagen Mellingen
AG
145. Tanklager-Gesellschaft
Hannover-Langenhagen
(TGHL) GbR
146. Tanklagergesellschaft
Köln-Bonn (TGK) GbR
147. TAR - Tankanlage Rümlang
AG
148. TAU Tanklager Auhafen
AG
149. Tanklager-Gesellschaft Tegel
(TGT) GbR
150. Tecklenburg GmbH
151. Tecklenburg GmbH & Co.
Energiebedarf KG
152. TGFH Tanklager-Gesellschaft
Frankfurt-Hahn
GbR
153. TGH Tankdienst-Gesellschaft
Hamburg GbR"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Fußnote
154. TGN Tankdienst-Gesellschaft
Nürnberg GbR
155. TLM Tanklager Management
GmbH
156. TLS Tanklager Stuttgart
GmbH
157. TRaBP GbR
158. Trafineo GmbH & Co. KG
159. TRaBP GbR
160. Trafineo Limibad
161. Trafineo Verwaltungs-
GmbH
162. Transalpine Ölleitung in
Österreich GmbH
163. TransTank GmbH
164. Turbo Fuel Services Sachsen
(TFSS) GbR
165. VTA Verfahrenstechnik
und Automatisierung
GmbH"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
(7) Vorräte; 4.20 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Vorräte setzen sich aus folgenden Posten zusammen:; 4.20 ;2016;BP Europa SE;Jahresabschluss;EY;;
"31.12.2016 Vorjahr
TEUR TEUR
Roh-, Hilfs- und Betriebsstoffe 548.187 482.105
Unfertige Erzeugnisse 112.520 73.381
Fertige Erzeugnisse und Waren 803.884 791.263
Geleistete Anzahlungen 1.220 18.000
Summe der Vorräte 1.465.811 1.364.749"; 4.21, 4.22, 4.23, 4.24 ;2016;BP Europa SE;Jahresabschluss;EY;;
(8) Forderungen und sonstige Vermögensgegenstände; 4.25 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Forderungen und sonstige Vermögensgegenstände Positionen zusammen:; 4.25 ;2016;BP Europa SE;Jahresabschluss;EY;;
"31.12.2016 Vorjahr
TEUR TEUR
Forderungen aus Lieferungen und Leistungen 2.055.170 2.136.940
- davon Forderungen mit einer Restlaufzeit von mehr als einem Jahr 72 246
Forderungen gegen verbundene Unternehmen 3.125.307 2.318.488
- davon Forderungen mit einer Restlaufzeit von mehr als einem Jahr 0 0
- davon Forderungen aus Lieferungen und Leistungen 417.622 398.195
- davon Forderungen aus dem Finanzverkehr 2.534.469 1.862.171
- davon sonstige Vermögensgegenstände 173.216 58.122
Forderungen gegen Unternehmen, mit denen ein
Beteiligungsverhältnis besteht 97.542 216.876
- davon Forderungen mit einer Restlaufzeit von mehr als einem Jahr 0 0
- davon Forderungen aus Lieferungen und Leistungen 61.464 155.144
- davon Forderungen aus dem Finanzverkehr 0 0
- davon sonstige Vermögensgegenstände 36.078 61.732
Sonstige Vermögensgegenstände 253.630 228.996
- davon Forderungen mit einer Restlaufzeit von mehr als einem Jahr 9.161 9.462
Summe der Forderungen 5.531.649 4.901.300"; 4.25, 6 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die BP ESE hat ein Portfolio von Forderungen aus Lieferungen und Leistungen in Höhe von TEUR 427.316 (Vorjahr TEUR 136.653) im Wege eines echten Factoringmodells liquiditätswirksam an einen Zessionar veräußert. Bei der Gesellschaft verbleibt ein nicht materielles Veritätsrisiko.; 4.25 ;2016;BP Europa SE;Jahresabschluss;EY;;
Der Posten sonstige Vermögensgegenstände setzt sich wie folgt zusammen:; 4.29 ;2016;BP Europa SE;Jahresabschluss;EY;;
"31.12.2016 Vorjahr
TEUR TEUR
Forderungen aus Abgang Finanzanlagen 78.263 0
Debitorische Kreditoren 35.762 41.853
Geleistete Anzahlungen 29.903 20.116
Forderungen aus Erstattungsansprüchen EEG Umlage 24.755 0
Stromsteuer Vorauszahlungen 22.272 15.718
Forderungen aus Steuererstattungsansprüchen 13.376 80.129
Erstattungsansprüche aus Pensionsverpflichtungen 8.203 7.715
Forderungen aus Darlehen 5.510 7.748
Erstattungsanspruch Parkhaus Regensburg 5.000 5.000
Zur Veräußerung gehaltene Anlagegüter 3.015 22.662
Sicherheit Hauptzollamt 1.950 9.032
Zur Veräußerung gehaltene Beteiligungen 287 3.499
Übrige Vermögensgegenstände 25.334 15.524
Summe der sonstigen Vermögensgegenstände 253.630 228.996"; 4.29 ;2016;BP Europa SE;Jahresabschluss;EY;;
"(9) Rechnungsabgrenzungsposten
Der aktive Rechnungsabgrenzungsposten setzt sich wie folgt zusammen:"; 4.34 ;2016;BP Europa SE;Jahresabschluss;EY;;
"31.12.2016 Vorjahr
TEUR TEUR
Baukostenzuschüsse 52.764 46.010
Mietvorauszahlungen 5.908 7.876
Übrige 2.282 3.678
Summe der Rechnungsabgrenzungsposten 60.954 57.564"; 4.34 ;2016;BP Europa SE;Jahresabschluss;EY;;
(10) Latente Steuern; 4.35, 27 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die aktiven latenten Steuern wurden mit den passiven latenten Steuern saldiert. Die aktiven latenten Steuern betreffen im Wesentlichen temporäre Differenzen bei den Rückstellungen aus Pensionen und ähnlichen Verpflichtungen. Die passiven latenten Steuern entfallen überwiegend auf temporäre Differenzen im Anlagevermögen, insbesondere im Bereich der immateriellen Vermögensgegenstände. Der danach verbleibende aktivische Überhang wurde in Ausübung des Aktivierungswahlrechts nicht angesetzt.; 4.35, 27 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die temporären Differenzen der BP ESE Deutschland wurden mit einem lokalen Steuersatz von 32 % bewertet. Entsprechend erfolgte die Bewertung für die Zweigniederlassungen in Belgien mit 34 %, in den Niederlanden mit 25 %, in Österreich mit 25 %, in Polen mit 19 %, in der Schweiz mit 14 % und in Ungarn mit 10 %.; 4.35, 27 ;2016;BP Europa SE;Jahresabschluss;EY;;
(11) Aktiver Unterschiedsbetrag aus der Vermögensverrechnung; 4.36 ;2016;BP Europa SE;Jahresabschluss;EY;;
Das Planvermögen mit Anschaffungskosten in Höhe von TEUR 28.449 (Vorjahr: TEUR 28.245) und einem beizulegenden Zeitwert in Höhe von TEUR 28.120 (Vorjahr: TEUR 27.775) wurde gemäß § 246 Abs. 2 HGB mit den Pensionsverpflichtungen saldiert. Der die entsprechenden Pensionsrückstellungen übersteigende beizulegende Zeitwert des Planvermögens ist in Höhe von TEUR 329 (Vorjahr: TEUR 470) aktiviert. Die Erträge in Höhe von TEUR 1.981 (Vorjahr: TEUR 1.805) aus dem Planvermögen wurden mit Aufwendungen von TEUR 1.275 (Vorjahr: TEUR 1.480) saldiert. Der; 4.36, 44 ;2016;BP Europa SE;Jahresabschluss;EY;;
Erfüllungsbetrag der saldierten Pensionsverpflichtungen wurde zum 31. Dezember 2016 mit einem Wert in Höhe von TEUR 33.116 (Vorjahr: TEUR 31.898) angesetzt.; 4.36, 44 ;2016;BP Europa SE;Jahresabschluss;EY;;
Passiva;;2016;BP Europa SE;Jahresabschluss;EY;;
(12) Gezeichnetes Kapital; 4.38 ;2016;BP Europa SE;Jahresabschluss;EY;;
Das Grundkapital der BP ESE beträgt EUR 639.875.370.; 4.38 ;2016;BP Europa SE;Jahresabschluss;EY;;
Aktionäre der BP ESE sind die BP Global Investments Limited, Sunbury an Thames/ UK, (BP GI) mit 639.824.241 Stückaktien (Anteil 99,992 %) sowie die BP plc mit 51.129 Stückaktien (Anteil 0,008 %).; 4.38, 32 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Die BP ESE hat, damals noch firmierend unter Deutsche BP Aktiengesellschaft, in 2003 nach § 20 Abs. 1, 3 und 4 AktG im Bundesanzeiger mitgeteilt: „Die BP GI hält kraft Zurechnung eine Mehrheitsbeteiligung an der Deutsche BP (Mitteilung nach § 20 Abs. 1 und 4 AktG)."""; 4.38, 99 ;2016;BP Europa SE;Jahresabschluss;EY;;
(13) Gewinnrücklagen; 4.40 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Gewinnrücklagen betreffen unverändert mit TEUR 51.129 die gesetzliche Rücklage und mit TEUR 13.778 die anderen Gewinnrücklagen.; 4.41, 4.44, 35 ;2016;BP Europa SE;Jahresabschluss;EY;;
(14) Bilanzgewinn; 4.45, 4.46 ;2016;BP Europa SE;Jahresabschluss;EY;;
Der Bilanzgewinn der BP ESE in Höhe von TEUR 1.364.426 (Vorjahr: TEUR 369.171) beinhaltet den Jahresüberschuss in Höhe von TEUR 995.255 (Vorjahr: TEUR 532.440) sowie den Gewinnvortrag in Höhe von TEUR 369.171 (Vorjahr: Verlustvortrag TEUR - 163.269).; 4.45, 4.46, 37, 72, 78 ;2016;BP Europa SE;Jahresabschluss;EY;;
Gemäß § 268 Abs. 8 bzw. § 253 Abs. 6 HGB sind Gewinne in Höhe von TEUR 259.664 (Vorjahr: TEUR 117.400) grundsätzlich zur Ausschüttung gesperrt. Der ausschüttungsgesperrte Betrag resultiert aus der Aktivierung selbst geschaffener immaterieller Vermögensgegenstände in Höhe von TEUR 123.219 (Vorjahr: TEUR 116.774). Des Weiteren sind TEUR 423 (Vorjahr: TEUR 626) aus dem, die ursprünglichen Anschaffungskosten übersteigenden, beizulegenden Zeitwert des Deckungsvermögens zur Absicherung von Pensionsansprüchen zur Ausschüttung gesperrt. Weiterhin ergibt sich eine Ausschüttungssperre in Höhe von TEUR 136.022 (Vorjahr: TEUR 0) aus dem Unterschiedsbetrag zwischen der angesetzten Pensionsrückstellung und der Pensionsrückstellung, die sich bei einem durchschnittlichen Marktzinssatz der letzten sieben Jahre ergeben würde.; 4.45, 4.46, 38, 42 ;2016;BP Europa SE;Jahresabschluss;EY;;
(15) Sonderposten mit Rücklageanteil; 4.0, 39, 62 ;2016;BP Europa SE;Jahresabschluss;EY;;
Der im Jahresabschluss der BP ESE ausgewiesene Sonderposten von insgesamt TEUR 8.975 (Vorjahr: TEUR 9.197) entfällt auf die BP ESE Deutschland und enthält den Unterschiedsbetrag zwischen handels- rechtlich gebotener und steuerrechtlich zulässiger Abschreibung gemäß § 254 HGB a.F.; 4.0, 39, 62 ;2016;BP Europa SE;Jahresabschluss;EY;;
Im Geschäftsjahr wurden insgesamt TEUR 222 (Vorjahr: TEUR 260) aufgelöst.; 4.0, 39, 62 ;2016;BP Europa SE;Jahresabschluss;EY;;
(16) Steuerrückstellungen; 4.49 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Steuerrückstellungen beinhalten:; 4.49 ;2016;BP Europa SE;Jahresabschluss;EY;;
"31.12.2016 Vorjahr
TEUR TEUR
Körperschaftsteuer 20.269 18.058
Gewerbesteuer 25.793 3.632
Solidaritätszuschlag 905 891
Sonstige 16.592 2.975
63.559 25.556"; 4.49 ;2016;BP Europa SE;Jahresabschluss;EY;;
(17) Sonstige Rückstellungen; 4.50, 47 ;2016;BP Europa SE;Jahresabschluss;EY;;
Der Posten sonstige Rückstellungen betrifft folgende Verpflichtungen:; 4.50, 47 ;2016;BP Europa SE;Jahresabschluss;EY;;
"31.12.2016 Vorjahr
TEUR TEUR
Personalbereich 311.647 286.815
Abbruchkosten 102.681 79.579
Ausstehende Rechnungen aus Lieferungen und Leistungen 93.043 105.992
EBV-Rückgabeverpflichtungen 78.649 56.552
Maßnahmen für Umweltschutz und Sicherheit 61.986 41.991
Preisnachlässe, Skonti und Rabatte 36.926 37.641
Prozesskosten 13.943 26.496
Verpflichtungen aus nicht genutzten Vermögensgegenständen 8.324 9.252
Ausgleichsansprüche Handelsvertreter § 89b HGB 7.071 6.035
Schadenersatz 3.950 4.740
Drohverluste 1.707 2.825
Kaufpreisausgleichsverpflichtung 0 13.400
Übrige sonstige Rückstellungen 48.128 56.217
Summe der sonstigen Rückstellungen 768.055 727.535"; 4.50, 47 ;2016;BP Europa SE;Jahresabschluss;EY;;
(18) Verbindlichkeiten; 4.51 ;2016;BP Europa SE;Jahresabschluss;EY;;
Im Geschäftsjahr wurden keine Verbindlichkeiten (Vorjahr: TEUR 202) durch Grundpfandrechte abgesichert.; 4.51, 51 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Verbindlichkeiten der BP ESE setzen sich wie folgt zusammen:; 4.51 ;2016;BP Europa SE;Jahresabschluss;EY;;
"31.12.2016 davon mit einer Restlaufzeit
Gesamt bis 1 Jahr > 1 Jahr
2016 Vorjahr 2016 Vorjahr
TEUR TEUR TEUR TEUR TEUR
Verbindlichkeiten gegenüber Kreditinstituten 38.294 38.294 37.021 0 0
Erhaltene Anzahlungen auf Bestellungen 52.711 52.247 36.596 464 1.720
Verbindlichkeiten aus Lieferungen und Leistungen
2.469.336 2.455.925 2.149.811 13.411 3.500
31.12.2016 davon mit einer Restlaufzeit
Gesamt bis 1 Jahr > 1 Jahr
2016 Vorjahr 2016 Vorjahr
TEUR TEUR TEUR TEUR TEUR
Verbindlichkeiten gegenüber verbundenen
Unternehmen 3.433.632 2.395.547 2.211.892 1.038.085 1.347.368
- davon Verbindlichkeiten aus Lieferungen
und Leistungen
452.939 452.939 286.074 0 0
- davon Verbindlichkeiten aus dem Finanzverkehr
2.636.186 1.598.102 1.390.940 1.038.084 1.347.367
- davon sonstige Verbindlichkeiten 344.507 344.506 534.878 1 1
Verbindlichkeiten gegenüber Unternehmen,
mit denen ein Beteiligungsverhältnis besteht
90.815 90.815 287.423 0 882
- davon Verbindlichkeiten aus Lieferungen
und Leistungen
36.112 36.112 106.662 0 882
- davon Verbindlichkeiten aus dem Finanzverkehr
54.698 54.698 180.761 0 0
Sonstige Verbindlichkeiten 1.025.560 993.925 969.596 31.635 32.577
- davon aus Steuern 625.351 625.351 579.171 0 0
- davon im Rahmen der
sozialen Sicherheit 6.801 3.100 2.444 3.701 4.560
Vorjahr
davon > 5 Jahre Gesamt
2016 Vorjahr
TEUR TEUR TEUR
Verbindlichkeiten gegenüber Kreditinstituten 0 0 37.021
Erhaltene Anzahlungen auf Bestellungen 0 0 38.316
Verbindlichkeiten aus Lieferungen und Leistungen 0 0 2.153.311
Verbindlichkeiten gegenüber verbundenen
Unternehmen 1 1 3.559.260
- davon Verbindlichkeiten aus Lieferungen und Leistungen 0 0 286.074
- davon Verbindlichkeiten aus dem Finanzverkehr 0 0 2.738.307
Vorjahr
davon > 5 Jahre Gesamt
2016 Vorjahr
TEUR TEUR TEUR
- davon sonstige Verbindlichkeiten 1 1 534.879
Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht 0 441 288.305
- davon Verbindlichkeiten aus Lieferungen und Leistungen 0 441 107.544
- davon Verbindlichkeiten aus dem Finanzverkehr 0 0 180.761
Sonstige Verbindlichkeiten 22.476 23.168 1.002.173
- davon aus Steuern 0 0 579.171
- davon im Rahmen der
sozialen Sicherheit 0 859 7.004"; 4.51, 6, 49, 50 ;2016;BP Europa SE;Jahresabschluss;EY;;
(19) Haftungsverhältnisse; 54 ;2016;BP Europa SE;Jahresabschluss;EY;;
Am Bilanzstichtag bestehen folgende Haftungsverhältnisse:; 54 ;2016;BP Europa SE;Jahresabschluss;EY;;
"31.12.2016 Vorjahr
TEUR TEUR
Bürgschaften 1.392.874 1.198.015
Gewährleistungsverträge 12.599 14.767
Patronate 950 5.826"; 54 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die BP ESE hat Bürgschaften in Höhe von TEUR 1.170.851 (Vorjahr: TEUR 933.064) für inländische Tochtergesellschaften aus Arbeitsverhältnisverpflichtungen und der betrieblichen Altersversorgung abgegeben. Davon entfallen auf die Altersversorgung TEUR 769.609 (Vorjahr: TEUR 695.844).; 54 ;2016;BP Europa SE;Jahresabschluss;EY;;
Gegenüber assoziierten Unternehmen wurden Bürgschaften in Höhe von TEUR 201.108 (Vorjahr: TEUR 216.735) sowie Garantien aus Gewährleistungsverträgen in Höhe von TEUR 120 (Vorjahr: TEUR 1.559) abgegeben.; 54 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die BP ESE rechnet mit keiner Inanspruchnahme aus bestehenden Haftungsverhältnissen.; 54, 55 ;2016;BP Europa SE;Jahresabschluss;EY;;
(20) Außerbilanzielle Geschäfte; 82 ;2016;BP Europa SE;Jahresabschluss;EY;;
"31.12.2016 davon mit einer Restlaufzeit Vorjahr
Gesamt bis 1 Jahr 1-5 Jahre > 5 Jahre Gesamt
TEUR TEUR TEUR TEUR TEUR
Langfristige Abnahmeverpflichtungen
13.835.047 8.050.412 2.026.940 3.757.695 14.868.546
Dienstleistungsverträge* 997.818 348.849 438.057 210.912 1.023.546
Miet-, Pacht- und Leasingverträge 715.226 140.064 303.216 271.946 762.772
Künftige Großreparaturen 76.900 75.400 1.500 0 85.460
Bestellobligo für Investitionen 59.872 53.510 6.362 0 40.866
* Der Posten enthält keine Verpflichtungen aus Verarbeitungsentgelten der ROG und der BAYERNOIL"; 82, 83 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die langfristigen Abnahmeverpflichtungen betreffen im Wesentlichen Rohölabnahmeverträge, die zu marktüblichen Preisen zum jeweiligen Lieferzeitpunkt abgerechnet werden. Die BP ESE begegnet dem mög- lichen Risiko von marktbedingten Absatzrückgängen durch Mengenregulierung innerhalb des internationalen Konzernverbunds. Auf Grund der langfristigen Abnahmeverträge ist eine mengenmäßige Absicherung der Rohölversorgung gewährleistet. Die Verträge dienen der Ausübung der gewöhnlichen Geschäftstätigkeit im Bereich der Mineralölverarbeitung.; 82, 83 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Leasingverträge wurden im Wesentlichen zur Steuerung der Liquiditätslage abgeschlossen. Neben den zukünftigen finanziellen Verpflichtungen sieht die BP ESE keine weiteren wesentlichen Risiken aus diesen nicht in der Bilanz enthaltenen Geschäften.; 82, 83 ;2016;BP Europa SE;Jahresabschluss;EY;;
Gegenüber verbundenen Unternehmen bestehen Abnahmeverpflichtungen in Höhe von TEUR 1.151.902 (Vorjahr: TEUR 7.642.297), Dienstleistungsverpflichtungen in Höhe von TEUR 9.063 (Vorjahr: TEUR 4.007) sowie Miet-, Pacht- und Leasingverpflichtungen in Höhe von TEUR 135 (Vorjahr: TEUR 0).; 82, 83 ;2016;BP Europa SE;Jahresabschluss;EY;;
(21) Derivative Finanzinstrumente; 57 ;2016;BP Europa SE;Jahresabschluss;EY;;
Derivative Finanzinstrumente werden bei der BP ESE ausschließlich für Sicherungszwecke im Rahmen der operativen Geschäftstätigkeit eingesetzt. Zur Absicherung von preisbedingten Marktrisiken hat die BP ESE die BP Oil International Ltd., London/ UK, (BP 01) als Dienstleister beauftragt, Swaps und Futures über Rohöl und Mineralölprodukte abzuschließen.; 57 ;2016;BP Europa SE;Jahresabschluss;EY;;
Der Zeitwert der offenen Swaps, die im Rahmen der Sicherung von Rohöl- und Produktpreisschwankungen für Beschaffungsvorgänge abgeschlossen wurden, beträgt zum Bilanzstichtag TEUR 20.910 (Vorjahr: TEUR 17.741). Die Ermittlung der Zeitwerte erfolgt auf Grundlage der Marktwerte zum Bilanzstichtag. Der Nominalwert beträgt TEUR 21.076 (Vorjahr: TEUR 17.946). Darüber hinaus wurde entsprechend dem; 57 ;2016;BP Europa SE;Jahresabschluss;EY;;
§ 249 Abs. 1 S. 1 HGB eine Drohverlustrückstellung in Höhe von TEUR 1.526 (Vorjahr: TEUR 2.825) gebildet.; 57 ;2016;BP Europa SE;Jahresabschluss;EY;;
Zum Bilanzstichtag bestehen offene Swaps im Rahmen des Bestandshedgings mit einem Zeitwert TEUR 397 (Vorjahr: TEUR 169) und einem Nominalwert von TEUR 398 (Vorjahr: TEUR 0). Die Ermittlung der Zeitwerte erfolgt auf Grundlage der Marktwerte zum Bilanzstichtag. Die Buchwerte der geschlossenen Futures und Swaps in Höhe von TEUR 1.564 (Vorjahr: TEUR 6.946) sind unter dem Bilanzposten Verbindlichkeiten gegenüber verbundenen Unternehmen erfasst.; 57 ;2016;BP Europa SE;Jahresabschluss;EY;;
Darüber hinaus wurde eine Drohverlustrückstellung für schwebende Beschaffungsgeschäfte in Höhe von TEUR 181 (Vorjahr: TEUR 0) gebildet.; 57 ;2016;BP Europa SE;Jahresabschluss;EY;;
Erläuterungen der Gewinn- und Verlustrechnung;;2016;BP Europa SE;Jahresabschluss;EY;;
Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren gegliedert.;;2016;BP Europa SE;Jahresabschluss;EY;;
(22) Umsatzerlöse; 4.66 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Geschäftstätigkeit der BP ESE ist in die Geschäftsbereiche Fuels ESA NWE (Fuels Europe & Southern Africa - North West Europe), Air BP, Lubes, Marine Fuels und weitere Geschäftsbereiche unterteilt. Die Fuels ESA NWE Aktivitäten umfassen das Tankstellengeschäft inklusive der Tankkartenaktivitäten, das Handelsgeschäft (Wholesale- und Resellergeschäft) inklusive des LPG Geschäfts, den Vertrieb von Bitumen und Koks und die Raffinerieaktivitäten. Die Lubes Aktivitäten beinhalten das Schmierstoffgeschäft im Automobil-, Zweirad- und Nutzfahrzeugsektor sowie in der Schifffahrt und der Industrie. Der Geschäftsbereich Marine Fuels umfasst die Versorgung und den Handel mit Marine Treibstoffen.; 4.66, 58 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die Umsatzerlöse werden im Geschäftsjahr 2016 erstmalig entsprechend der neuen Umsatzerlösdefinition gemäß BilRUG ausgewiesen. Die Umsatzerlöse sind daher nur eingeschränkt mit dem Vorjahr vergleichbar. Unter Berücksichtigung der neuen Umsatzerlösdefinition hätten sich im Vorjahr Umsatzerlöse in Höhe von TEUR 37.705.960 ergeben.; 4.66, 2, 58, 59 ;2016;BP Europa SE;Jahresabschluss;EY;;
"2016 Vorjahr
TEUR TEUR
Umsatzerlöse nach Geschäftsbereichen
Fuels ESA NWE 27.010.292 31.888.798
Air BP 1.653.321 2.084.981
Lubes 1.350.380 1.395.510
Marine Fuels 1.150.417 1.991.676
Weitere Geschäftsbereiche 182.694 97.893
Summe der Umsatzerlöse nach Geschäftsbereichen 31.347.104 37.458.858
Umsatzerlöse der Geschäftsbereiche nach geografischen Märkten
Fuels ESA NW E:
EU-Länder 26.388.744 31.192.259
Übriges Ausland 621.548 696.539
27.010.292 31.888.798
Air BP:
EU-Länder 1.471.263 1.836.650
Übriges Ausland 182.058 248.331
1.653.321 2.084.981
Lubes:
EU-Länder 1.139.629 1.136.288
Übriges Ausland 210.751 259.222
1.350.380 1.395.510
Marine Fuels:
EU-Länder 1.150.417 1.991.676
Übriges Ausland 0 0
1.150.417 1.991.676
Weitere Geschäftsbereiche:
EU-Länder 176.799 96.565
Übriges Ausland 5.895 1.328
182.694 97.893"; 4.66, 58 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Die Auslandsumsätze wurden im Wesentlichen mit verbundenen Unternehmen getätigt.
"; 4.66, 58 ;2016;BP Europa SE;Jahresabschluss;EY;;
"(23) Sonstige betriebliche Erträge
Der Posten sonstige betriebliche Erträge beinhaltet im Wesentlichen:"; 4.69 ;2016;BP Europa SE;Jahresabschluss;EY;;
"2016 Vorjahr
TEUR TEUR
Erträge aus dem Abgang von Anlagevermögen und Zuschreibungen 673.854 143.236
Währungskursgewinne 515.733 620.667
Sonstige periodenfremde Erträge 120.132 147.436
Erträge aus Hedgingaktivitäten 54.563 68.110
Erträge aus Weiterbelastungen 10.771 128.608"; 4.69, 65, 67 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die in 2016 mit Einführung des BilRUG geänderte Umsatzerlösdefinition wirkt sich korrespondierend durch einen verminderten Ausweis der sonstigen betrieblichen Erträge aus. Die Werte des Geschäftsjahres sind nur eingeschränkt mit dem Vorjahr vergleichbar.; 4.69, 2 ;2016;BP Europa SE;Jahresabschluss;EY;;
In den sonstigen betrieblichen Erträgen sind Erträge von außergewöhnlicher Größenordnung in Höhe von TEUR 655.522 aus der Veräußerung der Anteile an der RDG enthalten. Die sonstigen periodenfremden Erträge beinhalten Erträge aus der Auflösung von Rückstellungen in Höhe von TEUR 106.224 (Vorjahr: TEUR 133.505).; 4.69, 65, 68 ;2016;BP Europa SE;Jahresabschluss;EY;;
(24) Materialaufwand; 4.70 ;2016;BP Europa SE;Jahresabschluss;EY;;
Der Materialaufwand setzt sich wie folgt zusammen:; 4.70 ;2016;BP Europa SE;Jahresabschluss;EY;;
"2016 Vorjahr
TEUR TEUR
Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und bezogene Waren 27.628.598 33.529.320
Aufwendungen für bezogene Leistungen 897.908 937.801
Summe Materialaufwand 28.526.506 34.467.121"; 4.70 ;2016;BP Europa SE;Jahresabschluss;EY;;
